"","site","nsamps","nsubs","repl","hab_woody","hab_grass","rich.tot","rich.pif","rich.for"
"283",1,1,3,83,1,0,17,3,4
"284",1,1,3,84,0,1,17,3,1
"285",1,1,3,85,1,0,20,1,5
"286",1,1,3,86,1,0,20,0,3
"287",1,1,3,87,1,0,17,0,6
"288",1,1,3,88,1,0,20,1,3
"289",1,1,3,89,1,0,13,0,2
"290",1,1,3,90,1,0,23,1,4
"291",1,1,3,91,1,0,19,0,6
"292",1,1,3,92,1,0,13,2,1
"293",1,1,3,93,1,0,22,1,4
"294",1,1,3,94,1,0,18,0,6
"295",1,1,3,95,1,0,20,3,4
"296",1,1,3,96,1,0,13,1,1
"297",1,1,3,97,0,1,20,2,1
"298",1,1,3,98,1,0,20,1,3
"299",1,1,3,99,1,0,20,3,6
"300",1,1,3,100,1,0,22,1,6
"301",1,1,4,1,1,0,22,3,6
"302",1,1,4,2,1,0,22,2,4
"303",1,1,4,3,1,0,27,2,5
"304",1,1,4,4,1,0,26,2,5
"305",1,1,4,5,1,0,18,0,3
"306",1,1,4,6,1,0,20,3,5
"307",1,1,4,7,0,1,16,5,1
"308",1,1,4,8,1,0,23,1,6
"309",1,1,4,9,1,0,24,2,6
"310",1,1,4,10,1,0,19,1,5
"311",1,1,4,11,1,0,24,1,5
"312",1,1,4,12,1,0,25,2,8
"313",1,1,4,13,1,0,15,0,5
"314",1,1,4,14,1,0,19,0,6
"315",1,1,4,15,1,0,19,1,4
"316",1,1,4,16,1,0,17,3,1
"317",1,1,4,17,1,0,15,2,1
"318",1,1,4,18,1,0,24,2,5
"319",1,1,4,19,1,0,18,0,3
"320",1,1,4,20,1,0,19,0,3
"321",1,1,4,21,1,0,19,0,6
"322",1,1,4,22,1,0,22,0,4
"323",1,1,4,23,1,0,22,1,5
"324",1,1,4,24,1,0,16,1,5
"325",1,1,4,25,1,0,19,2,2
"326",1,1,4,26,1,0,21,4,5
"327",1,1,4,27,1,0,18,0,3
"328",1,1,4,28,1,0,17,3,2
"329",1,1,4,29,0,1,20,3,2
"330",1,1,4,30,1,0,21,2,7
"331",1,1,4,31,1,0,23,1,6
"332",1,1,4,32,1,0,19,1,4
"333",1,1,4,33,1,0,23,1,5
"334",1,1,4,34,1,0,27,1,7
"335",1,1,4,35,1,0,21,2,4
"336",1,1,4,36,1,0,27,2,9
"337",1,1,4,37,1,0,15,2,1
"338",1,1,4,38,0,1,23,2,2
"339",1,1,4,39,1,0,17,2,1
"340",1,1,4,40,1,0,20,3,3
"341",1,1,4,41,1,0,22,0,4
"342",1,1,4,42,1,0,15,1,5
"343",1,1,4,43,0,1,19,5,0
"344",1,1,4,44,1,0,22,2,3
"345",1,1,4,45,1,0,19,0,6
"346",1,1,4,46,1,0,20,1,5
"347",1,1,4,47,1,0,21,3,4
"348",1,1,4,48,1,0,17,0,4
"349",1,1,4,49,1,0,21,2,4
"350",1,1,4,50,1,0,21,2,4
"351",1,1,4,51,1,0,21,3,5
"352",1,1,4,52,1,0,16,2,1
"353",1,1,4,53,1,0,24,1,5
"354",1,1,4,54,1,0,15,1,5
"355",1,1,4,55,0,1,21,2,2
"356",1,1,4,56,1,0,17,3,2
"357",1,1,4,57,1,0,18,1,1
"358",1,1,4,58,1,0,14,2,0
"359",1,1,4,59,1,0,23,4,6
"360",1,1,4,60,1,0,20,1,7
"361",1,1,4,61,1,0,19,0,6
"362",1,1,4,62,1,0,16,1,1
"363",1,1,4,63,1,0,17,2,2
"364",1,1,4,64,1,0,19,3,5
"365",1,1,4,65,1,0,23,1,7
"366",1,1,4,66,1,0,19,3,5
"367",1,1,4,67,1,0,20,0,3
"368",1,1,4,68,1,0,20,3,3
"369",1,1,4,69,1,0,24,2,4
"370",1,1,4,70,1,0,16,2,1
"371",1,1,4,71,1,0,13,0,5
"372",1,1,4,72,1,0,22,1,5
"373",1,1,4,73,1,0,18,3,1
"374",1,1,4,74,1,0,29,2,7
"375",1,1,4,75,0,1,19,3,2
"376",1,1,4,76,1,0,23,2,4
"377",1,1,4,77,1,0,14,0,3
"378",1,1,4,78,0,1,23,5,0
"379",1,1,4,79,1,0,15,1,1
"380",1,1,4,80,1,0,19,1,4
"381",1,1,4,81,1,0,14,2,1
"382",1,1,4,82,1,0,19,2,2
"383",1,1,4,83,1,0,22,0,4
"384",1,1,4,84,1,0,19,1,3
"385",1,1,4,85,1,0,16,1,6
"386",1,1,4,86,1,0,26,1,7
"387",1,1,4,87,1,0,18,1,3
"388",1,1,4,88,1,0,20,2,3
"389",1,1,4,89,1,0,26,1,6
"390",1,1,4,90,1,0,21,4,5
"391",1,1,4,91,0,1,23,3,2
"392",1,1,4,92,1,0,27,1,7
"393",1,1,4,93,1,0,25,1,7
"394",1,1,4,94,1,0,18,3,2
"395",1,1,4,95,1,0,18,0,5
"396",1,1,4,96,1,0,20,0,5
"397",1,1,4,97,0,1,21,4,0
"398",1,1,4,98,1,0,22,3,6
"399",1,1,4,99,0,1,19,1,1
"400",1,1,4,100,1,0,21,0,6
"401",1,1,5,1,0,1,21,3,1
"402",1,1,5,2,1,0,21,0,3
"403",1,1,5,3,1,0,23,1,7
"404",1,1,5,4,1,0,17,3,0
"405",1,1,5,5,1,0,25,1,6
"406",1,1,5,6,1,0,21,0,6
"407",1,1,5,7,1,0,22,4,6
"408",1,1,5,8,1,0,21,2,4
"409",1,1,5,9,1,0,18,3,3
"410",1,1,5,10,1,0,24,1,6
"411",1,1,5,11,1,0,21,0,7
"412",1,1,5,12,1,0,19,2,6
"413",1,1,5,13,1,0,26,2,5
"414",1,1,5,14,1,0,21,0,3
"415",1,1,5,15,1,0,21,0,5
"416",1,1,5,16,1,0,22,1,4
"417",1,1,5,17,0,1,24,5,1
"418",1,1,5,18,1,0,25,1,6
"419",1,1,5,19,1,0,17,2,1
"420",1,1,5,20,1,0,19,3,5
"421",1,1,5,21,1,0,22,2,8
"422",1,1,5,22,0,1,22,5,0
"423",1,1,5,23,1,0,20,1,3
"424",1,1,5,24,1,0,30,2,8
"425",1,1,5,25,1,0,22,0,7
"426",1,1,5,26,1,0,18,0,5
"427",1,1,5,27,1,0,21,0,6
"428",1,1,5,28,1,0,26,0,6
"429",1,1,5,29,1,0,17,3,0
"430",1,1,5,30,1,0,25,0,6
"431",1,1,5,31,1,0,28,1,7
"432",1,1,5,32,1,0,28,1,8
"433",1,1,5,33,1,0,21,2,1
"434",1,1,5,34,1,0,18,0,5
"435",1,1,5,35,1,0,23,4,5
"436",1,1,5,36,1,0,21,3,4
"437",1,1,5,37,1,0,22,2,6
"438",1,1,5,38,1,0,28,2,5
"439",1,1,5,39,1,0,28,1,7
"440",1,1,5,40,1,0,23,0,4
"441",1,1,5,41,1,0,24,0,6
"442",1,1,5,42,1,0,19,2,1
"443",1,1,5,43,1,0,25,0,6
"444",1,1,5,44,1,0,24,1,6
"445",1,1,5,45,1,0,21,0,6
"446",1,1,5,46,1,0,23,1,5
"447",1,1,5,47,1,0,17,0,4
"448",1,1,5,48,0,1,24,5,0
"449",1,1,5,49,1,0,26,2,7
"450",1,1,5,50,1,0,24,5,6
"451",1,1,5,51,1,0,19,0,6
"452",1,1,5,52,1,0,21,0,6
"453",1,1,5,53,1,0,21,0,6
"454",1,1,5,54,0,1,20,3,1
"455",1,1,5,55,1,0,19,3,1
"456",1,1,5,56,1,0,26,1,8
"457",1,1,5,57,1,0,18,3,2
"458",1,1,5,58,0,1,24,4,1
"459",1,1,5,59,1,0,20,0,6
"460",1,1,5,60,1,0,22,0,4
"461",1,1,5,61,1,0,22,0,7
"462",1,1,5,62,0,1,22,3,2
"463",1,1,5,63,1,0,17,2,1
"464",1,1,5,64,1,0,18,3,0
"465",1,1,5,65,1,0,20,1,5
"466",1,1,5,66,1,0,23,0,4
"467",1,1,5,67,1,0,22,3,3
"468",1,1,5,68,1,0,21,0,3
"469",1,1,5,69,1,0,21,2,7
"470",1,1,5,70,1,0,27,2,5
"471",1,1,5,71,1,0,27,1,7
"472",1,1,5,72,1,0,18,3,0
"473",1,1,5,73,1,0,23,1,6
"474",1,1,5,74,1,0,19,1,4
"475",1,1,5,75,1,0,22,1,5
"476",1,1,5,76,1,0,16,2,2
"477",1,1,5,77,1,0,18,0,5
"478",1,1,5,78,1,0,21,0,6
"479",1,1,5,79,1,0,24,2,5
"480",1,1,5,80,0,1,21,3,1
"481",1,1,5,81,1,0,24,2,4
"482",1,1,5,82,1,0,22,2,4
"483",1,1,5,83,1,0,23,1,4
"484",1,1,5,84,1,0,23,1,4
"485",1,1,5,85,1,0,25,1,4
"486",1,1,5,86,1,0,19,3,2
"487",1,1,5,87,1,0,18,3,3
"488",1,1,5,88,1,0,21,2,2
"489",1,1,5,89,1,0,17,2,1
"490",1,1,5,90,1,0,31,2,9
"491",1,1,5,91,1,0,29,2,7
"492",1,1,5,92,1,0,22,3,4
"493",1,1,5,93,1,0,23,1,4
"494",1,1,5,94,1,0,21,3,3
"495",1,1,5,95,1,0,28,1,7
"496",1,1,5,96,0,1,23,2,2
"497",1,1,5,97,1,0,19,3,0
"498",1,1,5,98,1,0,27,2,5
"499",1,1,5,99,1,0,21,2,4
"500",1,1,5,100,1,0,22,2,2
"501",1,1,6,1,0,1,25,5,1
"502",1,1,6,2,1,0,28,1,5
"503",1,1,6,3,1,0,24,1,5
"504",1,1,6,4,1,0,28,2,5
"505",1,1,6,5,0,1,24,4,1
"506",1,1,6,6,1,0,25,1,6
"507",1,1,6,7,0,1,24,5,0
"508",1,1,6,8,0,1,23,5,1
"509",1,1,6,9,1,0,25,2,4
"510",1,1,6,10,1,0,19,2,1
"511",1,1,6,11,1,0,25,5,6
"512",1,1,6,12,1,0,21,3,1
"513",1,1,6,13,1,0,21,3,5
"514",1,1,6,14,1,0,26,1,6
"515",1,1,6,15,1,0,26,1,6
"516",1,1,6,16,1,0,23,2,8
"517",1,1,6,17,1,0,21,3,1
"518",1,1,6,18,1,0,28,1,8
"519",1,1,6,19,1,0,24,0,4
"520",1,1,6,20,1,0,20,0,6
"521",1,1,6,21,1,0,25,5,6
"522",1,1,6,22,1,0,18,2,3
"523",1,1,6,23,1,0,19,3,2
"524",1,1,6,24,1,0,24,4,5
"525",1,1,6,25,1,0,28,2,5
"526",1,1,6,26,1,0,19,3,3
"527",1,1,6,27,1,0,25,2,4
"528",1,1,6,28,1,0,28,1,8
"529",1,1,6,29,1,0,28,1,8
"530",1,1,6,30,1,0,26,4,6
"531",1,1,6,31,1,0,21,2,1
"532",1,1,6,32,1,0,18,2,1
"533",1,1,6,33,1,0,20,1,4
"534",1,1,6,34,1,0,18,2,3
"535",1,1,6,35,1,0,19,3,3
"536",1,1,6,36,1,0,26,1,5
"537",1,1,6,37,1,0,18,0,5
"538",1,1,6,38,0,1,24,5,0
"539",1,1,6,39,1,0,23,3,7
"540",1,1,6,40,1,0,19,2,1
"541",1,1,6,41,1,0,25,5,6
"542",1,1,6,42,0,1,23,3,2
"543",1,1,6,43,1,0,26,5,6
"544",1,1,6,44,1,0,25,2,4
"545",1,1,6,45,1,0,30,2,8
"546",1,1,6,46,1,0,25,1,6
"547",1,1,6,47,1,0,30,2,9
"548",1,1,6,48,1,0,25,5,6
"549",1,1,6,49,1,0,20,3,1
"550",1,1,6,50,1,0,29,2,9
"551",1,1,6,51,1,0,23,1,4
"552",1,1,6,52,1,0,17,1,2
"553",1,1,6,53,1,0,23,0,3
"554",1,1,6,54,1,0,21,0,6
"555",1,1,6,55,1,0,21,2,2
"556",1,1,6,56,1,0,26,5,6
"557",1,1,6,57,1,0,26,5,6
"558",1,1,6,58,1,0,22,0,7
"559",1,1,6,59,1,0,28,2,5
"560",1,1,6,60,1,0,22,0,7
"561",1,1,6,61,1,0,26,1,6
"562",1,1,6,62,1,0,22,0,7
"563",1,1,6,63,1,0,21,3,1
"564",1,1,6,64,0,1,25,3,3
"565",1,1,6,65,0,1,24,3,2
"566",1,1,6,66,0,1,24,4,1
"567",1,1,6,67,1,0,30,2,9
"568",1,1,6,68,1,0,19,3,2
"569",1,1,6,69,1,0,22,1,4
"570",1,1,6,70,1,0,23,1,4
"571",1,1,6,71,1,0,18,2,0
"572",1,1,6,72,1,0,25,2,4
"573",1,1,6,73,1,0,24,1,4
"574",1,1,6,74,1,0,19,3,3
"575",1,1,6,75,1,0,25,0,4
"576",1,1,6,76,0,1,23,3,2
"577",1,1,6,77,1,0,25,2,8
"578",1,1,6,78,1,0,22,2,8
"579",1,1,6,79,1,0,25,0,4
"580",1,1,6,80,1,0,23,2,8
"581",1,1,6,81,1,0,25,1,6
"582",1,1,6,82,1,0,19,3,2
"583",1,1,6,83,1,0,24,0,4
"584",1,1,6,84,0,1,24,3,2
"585",1,1,6,85,1,0,26,1,6
"586",1,1,6,86,1,0,30,2,9
"587",1,1,6,87,0,1,25,5,1
"588",1,1,6,88,1,0,28,1,7
"589",1,1,6,89,1,0,22,0,6
"590",1,1,6,90,1,0,22,2,1
"591",1,1,6,91,1,0,22,1,7
"592",1,1,6,92,1,0,22,2,6
"593",1,1,6,93,1,0,23,0,4
"594",1,1,6,94,1,0,20,3,0
"595",1,1,6,95,1,0,26,1,5
"596",1,1,6,96,1,0,23,3,4
"597",1,1,6,97,1,0,21,0,6
"598",1,1,6,98,1,0,28,1,6
"599",1,1,6,99,1,0,27,1,8
"600",1,1,6,100,1,0,27,2,5
"601",1,1,7,1,0,1,25,3,3
"602",1,1,7,2,1,0,22,3,1
"603",1,1,7,3,0,1,25,5,1
"604",1,1,7,4,1,0,27,5,6
"605",1,1,7,5,1,0,28,2,5
"606",1,1,7,6,0,1,25,5,1
"607",1,1,7,7,1,0,22,0,6
"608",1,1,7,8,1,0,22,1,5
"609",1,1,7,9,1,0,22,0,6
"610",1,1,7,10,1,0,22,1,5
"611",1,1,7,11,1,0,31,2,9
"612",1,1,7,12,1,0,25,3,7
"613",1,1,7,13,1,0,20,3,3
"614",1,1,7,14,1,0,23,1,4
"615",1,1,7,15,1,0,25,2,8
"616",1,1,7,16,1,0,20,3,3
"617",1,1,7,17,1,0,23,2,1
"618",1,1,7,18,1,0,31,2,9
"619",1,1,7,19,1,0,27,1,6
"620",1,1,7,20,1,0,20,3,0
"621",1,1,7,21,1,0,27,5,6
"622",1,1,7,22,0,1,25,5,1
"623",1,1,7,23,1,0,25,0,4
"624",1,1,7,24,1,0,26,3,7
"625",1,1,7,25,1,0,28,1,6
"626",1,1,7,26,0,1,25,5,1
"627",1,1,7,27,1,0,20,3,3
"628",1,1,7,28,1,0,21,3,1
"629",1,1,7,29,1,0,25,3,6
"630",1,1,7,30,1,0,25,3,7
"631",1,1,7,31,1,0,21,3,1
"632",1,1,7,32,1,0,25,2,8
"633",1,1,7,33,1,0,27,5,6
"634",1,1,7,34,1,0,31,2,9
"635",1,1,7,35,1,0,26,2,4
"636",1,1,7,36,1,0,26,2,4
"637",1,1,7,37,1,0,28,1,5
"638",1,1,7,38,1,0,20,3,3
"639",1,1,7,39,1,0,27,1,6
"640",1,1,7,40,1,0,25,0,4
"641",1,1,7,41,1,0,31,2,9
"642",1,1,7,42,1,0,25,0,4
"643",1,1,7,43,1,0,22,0,6
"644",1,1,7,44,1,0,31,2,9
"645",1,1,7,45,1,0,21,3,1
"646",1,1,7,46,1,0,27,5,6
"647",1,1,7,47,1,0,28,2,5
"648",1,1,7,48,1,0,25,2,8
"649",1,1,7,49,1,0,20,2,1
"650",1,1,7,50,1,0,28,2,5
"651",1,1,7,51,1,0,20,3,1
"652",1,1,7,52,1,0,25,3,7
"653",1,1,7,53,1,0,22,0,6
"654",1,1,7,54,1,0,22,3,1
"655",1,1,7,55,1,0,26,2,4
"656",1,1,7,56,1,0,22,2,2
"657",1,1,7,57,1,0,26,2,4
"658",1,1,7,58,1,0,22,0,6
"659",1,1,7,59,1,0,22,3,1
"660",1,1,7,60,1,0,23,1,4
"661",1,1,7,61,1,0,26,2,4
"662",1,1,7,62,1,0,21,3,1
